Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,PerformanceRating,TotalWorkingYears,MonthlyIncome
no,unknown,429.0,2,4,life_sciences,"1294,0",3,male,53.0,3,2,manufacturing_director,2,single,2323,9,yes,11,4,0,2,3.0,16,5,12,1987,no,3.0,18.0,4061.2
no,travel_rarely,589.0,28,4,life_sciences,unknown,2,female,79.0,3,2,laboratory_technician,3,married,22949,1,unknown,12,2,1,3,3.0,15,5,7,1990,yes,3.0,15.0,5358.2
no,non_travel,798.0,10,3,life_sciences,"1774,0",4,female,87.0,3,2,sales_executive,3,unknown,12313,1,yes,14,3,1,3,3.0,15,0,7,1989,yes,3.0,15.0,4001.0
no,unknown,798.0,37,1,unknown,"1815,0",37,male,81.0,3,3,sales_executive,3,divorced,26458,0,unknown,13,4,1,3,4.0,22,13,5,1982,yes,3.0,18.01421602927365,10447.0
no,unknown,1180.0,25,3,medical,"1993,0",1,female,84.0,3,3,healthcare_representative,3,unknown,13084,2,unknown,23,2,0,3,3.0,17,12,11,1976,yes,4.0,25.0,4608.2
no,travel_rarely,1282.0,5,3,unknown,"32,0",3,male,58.0,3,5,manager,3,unknown,10735,4,unknown,11,4,1,3,2.0,14,4,8,1970,yes,3.0,26.0,4061.2
no,unknown,776.0,1,4,marketing,"100,0",3,female,32.0,2,2,sales_executive,1,single,23016,0,no,14,2,0,2,3.0,15,2,8,1988,no,3.147367421668005,16.0,8832.2
no,travel_rarely,665.0,6,4,other,unknown,1,male,41.0,3,2,research_scientist,3,single,12482,1,unknown,14,3,0,3,3.0,16,2,10,1989,true,3.0,16.0,4334.0
no,travel_rarely,526.0,1,2,unknown,"244,0",2,male,92.0,3,3,sales_executive,1,divorced,2137,1,no,25,3,3,2,3.0,24,15,7,1977,yes,4.0,24.0,7106.4
no,unknown,1034.0,16,3,unknown,"327,0",4,male,80.0,3,4,manager,4,married,7744,5,unknown,22,3,1,3,3.0,17,1,9,1980,yes,4.0,22.0,16064.0
no,unknown,1403.0,6,3,life_sciences,"373,0",4,female,47.0,3,1,laboratory_technician,4,married,20251,0,unknown,11,3,1,4,3.0,15,10,11,1987,true,3.0,16.0,3210.0
no,travel_frequently,1499.0,28,3,unknown,unknown,3,male,80.0,2,3,sales_executive,1,married,2845,4,no,19,4,0,5,4.0,18,13,11,1963,yes,3.0,22.0,10266.0
no,travel_frequently,580.0,5,4,unknown,"729,0",4,female,48.0,2,3,sales_executive,1,married,23772,5,yes,21,3,1,2,3.0,18,1,12,1983,no,4.0,20.0,10475.0
no,travel_rarely,859.0,4,3,unknown,"830,0",3,male,98.0,2,2,manufacturing_director,3,married,19124,1,no,12,3,1,3,3.0,14,6,8,1991,no,3.0,14.0,6162.0
no,travel_rarely,263.0,35,3,unknown,unknown,35,female,59.0,3,1,laboratory_technician,1,single,3119,2,yes,13,3,0,3,3.0,18,2,17,1982,yes,3.15419034180885,20.0,4721.0
no,unknown,1376.0,2,2,medical,"981,0",3,female,66.0,3,4,manager,3,divorced,13938,6,no,13,3,1,3,4.0,17,15,2,1970,false,3.0,22.0,4061.2
yes,travel_rarely,885.0,16,4,unknown,"1042,0",3,male,43.0,4,1,laboratory_technician,1,single,8269,1,unknown,16,3,0,1,3.0,17,15,14,1987,yes,3.0,18.0,4061.2
no,unknown,1003.0,8,4,life_sciences,"1080,0",4,male,74.0,2,2,research_scientist,1,divorced,21029,8,yes,23,1,3,2,3.0,16,1,7,1977,no,4.0,8.659399713325772,4615.0
no,travel_rarely,1321.0,1,4,unknown,"1995,0",4,female,86.0,3,2,sales_executive,2,married,7636,0,no,15,1,2,3,3.0,15,5,8,1985,yes,3.0,16.0,4334.0
no,unknown,798.0,1,4,unknown,"145,0",1,male,30.0,2,3,healthcare_representative,1,single,25796,3,unknown,20,3,0,1,2.0,13,12,8,1972,true,4.0,23.0,8343.2
no,unknown,394.0,26,2,unknown,"158,0",3,female,92.0,3,4,manager,4,married,19494,1,yes,12,4,2,3,4.0,25,4,12,1980,yes,3.0,25.0,16959.0
no,unknown,1372.0,1,3,life_sciences,"391,0",4,male,42.0,3,1,research_scientist,4,single,15881,1,no,12,2,0,3,3.0,17,5,7,1986,yes,3.0,11.557873824923,2849.8
no,travel_rarely,798.0,8,2,technical_degree,"436,0",3,male,65.0,2,2,sales_executive,2,married,24624,1,yes,11,4,0,2,3.0,13,11,9,1991,true,3.0,11.557873824923,2849.8
no,unknown,1333.0,1,3,unknown,unknown,4,male,80.0,3,3,research_director,1,married,16292,1,unknown,13,2,1,3,3.0,15,5,11,1985,false,3.0,15.0,5358.2
no,unknown,228.0,3,3,life_sciences,"1527,0",3,male,51.0,3,4,manager,2,unknown,11380,8,no,12,4,1,2,4.0,13,5,1,1977,yes,3.0,23.0,4334.0
yes,travel_rarely,737.0,10,3,medical,unknown,4,female,55.0,2,3,sales_executive,1,married,21530,9,unknown,17,3,0,3,3.0,13,6,0,1988,no,3.0,15.0,10306.0
no,unknown,823.0,6,3,medical,"1866,0",1,male,81.0,2,5,manager,3,married,22539,7,no,13,4,0,2,3.0,16,6,14,1980,yes,3.0,21.0,5358.2
no,non_travel,667.0,1,4,life_sciences,"2026,0",3,female,57.0,3,2,healthcare_representative,3,divorced,26236,1,no,21,1,1,2,2.0,13,1,9,1967,yes,3.150819495668517,11.52212657468347,6477.686121919585
no,non_travel,301.0,15,4,marketing,unknown,4,female,88.0,1,2,sales_executive,4,divorced,10436,1,no,24,1,1,4,2.0,15,11,11,1987,yes,4.0,9.928203026163459,5406.0
no,unknown,573.0,6,3,medical,"107,0",2,male,79.0,1,2,research_scientist,4,unknown,15717,7,unknown,12,4,3,3,3.0,13,1,9,1985,yes,3.0,17.0,4334.0
no,unknown,798.0,26,4,medical,"170,0",3,male,96.0,3,2,manufacturing_director,1,unknown,5549,1,no,14,3,0,2,2.0,15,5,11,1974,no,3.0,16.0,4334.0
no,travel_rarely,1329.0,4,4,life_sciences,unknown,4,male,47.0,2,2,sales_executive,3,married,14590,4,unknown,14,3,1,1,4.0,15,5,9,1984,yes,3.0,17.0,5902.0
no,unknown,630.0,4,4,unknown,"215,0",3,female,67.0,2,3,sales_executive,4,married,8552,7,no,11,1,1,2,2.0,12,2,11,1983,yes,3.1436381280090098,15.0,10855.0
no,unknown,798.0,5,2,unknown,"304,0",4,female,62.0,3,2,laboratory_technician,2,single,9945,8,no,16,4,0,3,4.0,13,3,7,1987,yes,3.0,16.0,5914.0
no,unknown,1063.0,25,5,unknown,"529,0",2,male,72.0,3,2,research_scientist,3,married,23866,3,yes,15,1,2,2,3.0,13,10,7,1986,no,3.0,15.0,5358.2
no,unknown,1017.0,6,4,unknown,"691,0",2,female,82.0,1,2,research_scientist,4,unknown,19368,1,unknown,13,2,0,3,3.0,17,11,8,1988,yes,3.0,11.917223118912027,6646.0
no,travel_frequently,1296.0,6,3,life_sciences,"692,0",3,female,66.0,3,2,healthcare_representative,4,divorced,5335,3,no,23,3,1,2,1.0,13,4,7,1990,false,4.0,15.0,2954.6
no,travel_rarely,939.0,24,3,unknown,"1005,0",4,female,66.0,3,4,manufacturing_director,3,married,4161,3,yes,18,4,1,2,3.0,12,1,5,1973,false,3.0,22.0,13973.0
no,travel_rarely,1355.0,4,4,unknown,"1024,0",3,female,78.0,2,3,healthcare_representative,3,single,22245,7,unknown,14,2,0,3,3.0,15,4,8,1975,yes,3.1388880298029487,27.0,17608.8
no,travel_rarely,1448.0,28,3,unknown,"1039,0",4,male,53.0,4,4,sales_executive,4,married,11737,3,unknown,18,3,1,2,3.0,12,11,11,1979,yes,3.0,22.62265081787374,13320.0
no,travel_rarely,200.0,29,4,unknown,"1225,0",4,female,32.0,3,2,research_scientist,4,single,7744,1,unknown,25,2,0,3,3.0,20,13,17,1979,yes,4.0,11.32083555609988,4318.6
no,unknown,1202.0,25,1,unknown,"1375,0",25,male,89.0,4,2,healthcare_representative,3,unknown,13888,5,no,20,2,3,0,3.0,12,11,8,1983,true,4.0,15.0,2954.6
no,travel_rarely,404.0,2,4,unknown,unknown,3,male,98.0,3,2,healthcare_representative,4,single,6163,1,unknown,11,4,0,2,4.0,14,4,11,1989,true,3.0,14.0,6687.0
no,non_travel,208.0,8,4,unknown,unknown,3,male,52.0,3,2,healthcare_representative,3,unknown,12250,1,unknown,12,4,1,5,3.0,14,2,9,1988,true,3.0,11.557873824923,2849.8
no,unknown,813.0,17,5,life_sciences,unknown,4,male,50.0,2,3,research_director,1,unknown,21981,5,no,15,3,3,3,3.0,14,1,11,1973,no,3.0,11.557873824923,2849.8
no,unknown,465.0,6,1,life_sciences,"1661,0",3,male,41.0,2,4,healthcare_representative,3,unknown,11652,2,unknown,19,2,1,3,3.0,15,2,12,1974,yes,3.0,11.557873824923,2849.8
no,travel_frequently,1189.0,1,3,life_sciences,"1668,0",4,female,90.0,3,2,research_scientist,4,unknown,9867,7,no,15,4,2,4,3.0,13,2,9,1985,true,3.0,19.0,4735.0
no,unknown,798.0,21,3,unknown,"1698,0",2,female,79.0,4,1,laboratory_technician,2,unknown,13637,1,no,18,4,3,6,3.0,14,2,13,1990,true,3.0,14.0,4061.2
no,travel_rarely,1001.0,4,3,life_sciences,unknown,3,male,92.0,2,3,manufacturing_director,2,divorced,19271,8,yes,12,3,1,4,3.0,22,14,10,1976,yes,3.150819495668517,11.52212657468347,6477.686121919585
no,unknown,1394.0,8,3,unknown,"1937,0",4,male,58.0,2,2,research_scientist,2,divorced,18115,1,unknown,16,3,1,3,3.0,20,0,7,1985,no,3.0,20.0,4334.0
no,travel_rarely,161.0,10,3,life_sciences,"2017,0",3,male,42.0,4,3,research_director,4,unknown,15471,1,yes,25,1,1,2,3.0,16,6,8,1986,yes,4.0,16.0,5500.8
no,unknown,288.0,2,3,unknown,"117,0",3,female,99.0,2,2,healthcare_representative,4,married,15830,1,no,19,1,3,3,3.0,11,10,8,1993,yes,3.1512216906975756,11.0,5368.0
no,travel_rarely,682.0,18,4,unknown,"131,0",4,female,37.0,3,4,sales_executive,3,single,24409,0,unknown,13,3,0,1,2.0,37,1,8,1965,yes,3.0,38.0,13872.0
no,travel_rarely,1354.0,5,3,unknown,"153,0",3,male,45.0,2,3,manager,1,single,5615,2,unknown,12,4,0,6,3.0,11,5,8,1989,no,3.0,14.0,4061.2
yes,travel_rarely,147.0,23,4,medical,unknown,4,male,94.0,3,3,healthcare_representative,4,married,3465,1,unknown,12,4,1,3,2.0,40,15,6,1965,yes,3.0,40.0,4334.0
no,unknown,119.0,3,3,life_sciences,"307,0",1,female,76.0,3,3,sales_executive,3,divorced,9647,0,unknown,12,3,2,6,2.0,16,5,13,1985,yes,3.0,11.557873824923,2849.8
no,travel_frequently,1413.0,1,1,unknown,unknown,2,male,42.0,3,3,sales_executive,4,married,6599,1,unknown,14,4,1,5,3.0,11,4,1,1994,true,3.0,11.0,4061.2
no,travel_rarely,452.0,1,3,medical,"374,0",4,female,81.0,3,5,manager,1,single,18938,0,unknown,14,3,0,2,3.0,36,4,13,1968,yes,3.0,37.0,19045.0
no,unknown,334.0,10,4,unknown,unknown,4,female,88.0,3,4,manager,2,unknown,15896,1,unknown,19,2,0,2,3.0,22,0,4,1982,yes,3.0,26.945564759842846,16015.0
no,travel_rarely,1132.0,1,3,unknown,unknown,3,female,48.0,4,3,healthcare_representative,4,unknown,10942,0,no,17,1,3,5,2.0,18,3,7,1984,no,3.1459776896253544,19.0,9613.0
no,unknown,798.0,15,2,life_sciences,unknown,3,female,92.0,2,3,research_director,4,unknown,15682,0,unknown,14,2,1,3,3.0,11,2,9,1985,yes,3.0,19.719320860558682,11510.0
no,unknown,982.0,12,3,unknown,unknown,1,female,59.0,2,4,research_director,2,unknown,4345,1,no,11,3,1,3,3.0,25,3,9,1980,true,3.0,11.557873824923,2849.8
no,unknown,480.0,30,2,unknown,"524,0",2,male,31.0,3,2,manufacturing_director,1,married,4156,1,no,12,2,1,5,1.0,13,3,12,1992,yes,3.0,13.0,4306.0
no,travel_rarely,1099.0,27,4,life_sciences,"569,0",27,female,88.0,2,4,manager,3,married,9314,0,no,15,2,1,2,3.0,27,15,7,1973,true,3.0,28.0,17046.0
no,unknown,672.0,25,3,technical_degree,"899,0",4,female,78.0,2,3,manufacturing_director,2,married,9129,3,no,16,1,0,2,3.0,13,4,8,1988,no,3.150819495668517,11.52212657468347,6477.686121919585
no,unknown,1379.0,16,4,unknown,unknown,3,female,64.0,4,2,manufacturing_director,3,unknown,6759,1,yes,19,3,0,3,3.0,19,2,7,1976,yes,3.0,20.0,5067.0
no,unknown,583.0,25,4,unknown,"1014,0",3,male,57.0,3,3,healthcare_representative,3,divorced,6975,1,yes,11,3,1,3,2.0,16,10,1,1988,yes,3.150819495668517,11.52212657468347,6477.686121919585
no,travel_rarely,1492.0,20,4,unknown,unknown,1,female,61.0,3,3,healthcare_representative,4,married,26542,4,unknown,20,4,1,6,3.0,11,11,1,1983,yes,4.0,14.0,7556.6
no,unknown,1050.0,9,4,life_sciences,"1117,0",2,male,65.0,2,2,sales_executive,3,married,17970,1,unknown,13,4,1,2,3.0,15,4,12,1978,no,3.0,15.0,5358.2
no,unknown,117.0,9,3,medical,"1238,0",1,female,60.0,3,1,research_scientist,4,married,6311,0,unknown,13,2,1,5,3.0,14,4,10,1990,false,3.0,15.0,5358.2
no,travel_frequently,469.0,3,3,unknown,unknown,3,female,46.0,3,1,research_scientist,2,married,9256,1,no,12,3,0,2,2.0,11,0,7,1987,false,3.0,12.0,3692.0
yes,unknown,798.0,13,3,marketing,"1277,0",1,male,94.0,1,5,manager,2,unknown,2493,2,yes,16,1,0,2,3.0,24,1,11,1978,true,3.0,26.0,4061.2
no,travel_frequently,237.0,27,3,unknown,unknown,27,female,83.0,3,5,manager,2,unknown,19196,4,yes,24,1,1,5,2.0,29,11,10,1972,no,3.1298962374180728,33.09228341036129,19847.0
no,travel_rarely,1440.0,7,2,technical_degree,"1541,0",2,female,55.0,3,1,sales_representative,3,unknown,4944,0,yes,25,2,1,4,3.0,11,5,7,1989,no,4.0,12.0,2308.0
no,travel_rarely,1291.0,15,2,unknown,"1666,0",3,female,65.0,2,4,research_director,3,unknown,3525,1,no,24,1,1,3,3.0,14,6,11,1980,yes,4.0,11.32083555609988,4318.6
no,unknown,1157.0,5,2,medical,"1696,0",2,female,57.0,2,2,laboratory_technician,4,unknown,11912,1,no,14,3,1,3,3.0,15,4,13,1989,no,3.0,11.557873824923,2849.8
no,unknown,1336.0,2,3,unknown,"1805,0",1,female,100.0,3,1,human_resources,2,divorced,7129,5,no,13,4,3,3,3.0,11,3,8,1985,yes,3.0,13.0,4334.0
no,unknown,1224.0,10,3,unknown,unknown,4,female,91.0,2,5,research_director,2,unknown,13583,4,no,12,4,0,3,3.0,22,12,9,1975,no,3.0,29.0,5358.2
no,unknown,735.0,22,4,other,"1932,0",3,female,86.0,2,2,research_scientist,4,married,26496,1,yes,15,2,0,3,3.0,15,6,11,1989,false,3.0,16.0,5747.0
no,travel_rarely,798.0,31,4,unknown,"2016,0",31,male,48.0,3,3,sales_executive,4,unknown,24032,1,no,19,3,2,3,3.0,14,5,7,1991,yes,3.0,14.0,10422.0
no,travel_rarely,1389.0,21,4,life_sciences,"20,0",2,male,51.0,4,3,manufacturing_director,1,divorced,10195,1,no,11,3,1,1,3.0,10,8,8,1994,no,3.0,10.0,3475.6
no,unknown,638.0,1,3,medical,unknown,3,female,40.0,2,3,healthcare_representative,1,married,3142,2,yes,13,3,1,5,2.0,10,9,5,1977,false,3.0,21.0,5358.2
no,unknown,1240.0,9,3,unknown,"184,0",3,female,48.0,3,2,human_resources,4,married,13982,0,yes,19,4,0,2,1.0,11,4,7,1993,no,3.0,11.437612258559982,6347.0
no,unknown,194.0,9,3,life_sciences,"206,0",2,female,60.0,3,2,laboratory_technician,2,unknown,10901,8,no,18,3,1,2,3.0,17,0,15,1978,yes,3.0,20.0,2348.0
no,travel_rarely,1339.0,5,3,unknown,"228,0",2,male,41.0,3,3,sales_executive,4,unknown,8053,2,no,12,3,1,2,3.0,10,7,4,1993,true,3.0,11.557873824923,2849.8
no,unknown,111.0,9,3,unknown,"239,0",3,female,66.0,3,2,laboratory_technician,1,unknown,11012,1,no,11,3,2,4,3.0,12,6,10,1993,yes,3.1563922705098726,12.0,3072.0
no,travel_frequently,798.0,29,1,unknown,"256,0",4,female,45.0,2,2,manufacturing_director,3,married,14074,1,unknown,17,3,0,2,2.0,10,1,9,1989,false,3.0,10.0,3475.6
no,travel_rarely,1469.0,8,4,life_sciences,unknown,2,female,81.0,2,3,research_director,2,married,15736,5,no,16,4,2,5,1.0,10,4,7,1972,no,3.0,16.0,12490.0
no,unknown,470.0,39,4,life_sciences,"339,0",39,female,84.0,2,2,manufacturing_director,1,unknown,23687,6,unknown,13,2,1,3,3.0,11,5,9,1989,yes,3.0,13.0,4334.0
no,travel_rarely,1232.0,16,3,unknown,"406,0",3,female,96.0,3,3,sales_executive,2,married,5100,0,unknown,15,3,2,3,2.0,11,6,9,1988,yes,3.0,12.0,8020.0
no,travel_frequently,1249.0,7,3,life_sciences,unknown,1,female,97.0,3,3,laboratory_technician,1,unknown,20308,1,unknown,18,1,1,2,3.0,24,9,11,1978,yes,3.0,24.0,4334.0
no,unknown,117.0,10,1,unknown,"429,0",3,female,99.0,3,4,manager,1,married,5355,1,unknown,14,4,0,3,3.0,21,11,10,1984,yes,3.1337016984962762,21.0,17068.0
no,unknown,798.0,7,2,unknown,unknown,3,male,48.0,2,3,manufacturing_director,3,married,14034,1,no,24,1,1,2,3.0,10,8,9,1992,false,4.0,10.0,8943.0
no,unknown,672.0,7,2,unknown,"444,0",3,female,54.0,2,5,manager,4,married,21141,1,unknown,15,1,1,2,3.0,21,13,3,1984,true,3.0,32.16995463330978,19272.0
no,travel_rarely,549.0,8,4,unknown,"452,0",4,female,75.0,3,2,research_scientist,4,unknown,9278,9,no,14,1,2,3,3.0,10,9,8,1978,true,3.0,12.0,4483.0
no,travel_rarely,570.0,5,3,marketing,"456,0",4,male,30.0,2,2,sales_executive,3,unknown,5431,1,unknown,13,3,3,2,3.0,10,1,2,1993,yes,3.0,10.0,3475.6
no,unknown,1232.0,7,4,medical,unknown,3,male,39.0,3,3,manufacturing_director,4,unknown,25713,1,unknown,14,3,0,2,2.0,11,4,10,1992,false,3.0,11.0,4061.2
no,unknown,541.0,3,4,medical,"481,0",1,female,48.0,2,3,sales_executive,4,married,7246,4,no,11,1,1,2,3.0,13,1,12,1987,true,3.0,16.0,4334.0
no,travel_rarely,164.0,2,2,unknown,"513,0",2,female,61.0,2,3,sales_executive,3,married,3809,1,unknown,13,2,2,2,3.0,10,9,0,1987,true,3.0,10.0,3475.6
no,travel_rarely,1117.0,18,5,unknown,"597,0",1,male,83.0,3,4,manager,2,single,9873,3,no,23,4,0,2,3.0,10,7,7,1968,yes,4.0,37.0,5298.2
no,unknown,619.0,1,3,unknown,"600,0",2,female,85.0,3,2,sales_executive,3,unknown,18659,9,unknown,11,3,0,2,3.0,11,6,9,1988,yes,3.0,15.0,5358.2
no,travel_rarely,319.0,24,3,medical,unknown,4,female,56.0,3,3,manufacturing_director,1,married,6950,1,unknown,21,4,1,5,2.0,10,5,8,1981,false,4.0,10.0,8948.0
no,travel_rarely,956.0,6,2,unknown,"630,0",4,female,78.0,3,2,research_scientist,1,divorced,22087,3,yes,12,2,2,3,3.0,10,6,9,1971,yes,3.1526293083502006,18.0,5577.0
no,unknown,1245.0,18,4,life_sciences,"638,0",4,female,58.0,2,5,research_director,3,unknown,2125,1,yes,17,3,1,5,3.0,31,0,9,1974,yes,3.0,11.557873824923,2849.8
no,travel_rarely,1397.0,1,5,unknown,"683,0",2,female,42.0,3,1,research_scientist,4,married,7660,1,no,12,4,1,4,2.0,10,8,8,1989,yes,3.0,5.573206554723599,2691.0
yes,travel_rarely,527.0,1,4,other,"780,0",4,female,63.0,3,1,research_scientist,4,single,5207,1,unknown,13,3,0,2,2.0,10,7,8,1990,no,3.0,10.0,3475.6
no,unknown,213.0,7,3,medical,"817,0",3,female,49.0,3,3,research_director,3,married,25995,0,no,11,4,0,3,4.0,13,3,7,1990,true,3.0,11.557873824923,2849.8
no,travel_rarely,798.0,23,4,unknown,"901,0",4,male,72.0,3,4,research_director,4,unknown,20206,6,no,18,3,0,0,3.0,12,3,8,1970,yes,3.0,33.0,4334.0
no,travel_rarely,527.0,8,2,other,"944,0",1,male,51.0,3,3,laboratory_technician,2,married,22477,4,unknown,11,3,1,3,2.0,26,1,7,1974,no,3.0,29.0,7403.0
no,unknown,882.0,21,4,unknown,"984,0",21,female,66.0,3,3,sales_executive,4,unknown,6812,6,unknown,13,2,1,2,3.0,10,0,8,1988,no,3.0,11.557873824923,2849.8
no,travel_rarely,330.0,17,1,life_sciences,"1088,0",3,male,65.0,2,3,healthcare_representative,3,married,24608,0,unknown,18,1,1,4,2.0,19,1,9,1985,no,3.0,20.0,8823.0
no,unknown,406.0,3,1,marketing,"1124,0",1,female,66.0,3,4,manager,3,married,15596,3,no,12,4,1,3,3.0,12,4,9,1977,no,3.0,11.557873824923,2849.8
no,non_travel,217.0,18,4,unknown,unknown,1,female,78.0,3,2,manufacturing_director,4,single,23238,2,unknown,20,1,0,0,3.0,11,0,9,1987,false,4.0,18.0,4732.4
yes,travel_frequently,481.0,15,3,life_sciences,"1167,0",15,female,44.0,3,4,sales_executive,1,single,2447,0,unknown,12,2,0,2,2.0,21,13,14,1981,yes,3.150819495668517,11.52212657468347,6477.686121919585
no,travel_frequently,669.0,1,3,unknown,"1184,0",4,female,97.0,2,2,healthcare_representative,1,single,25755,0,no,20,3,0,3,3.0,13,4,9,1989,yes,4.0,14.0,7556.6
no,travel_rarely,1465.0,1,3,medical,unknown,4,female,63.0,3,1,research_scientist,2,unknown,9369,0,yes,21,1,1,2,3.0,11,5,7,1993,yes,4.0,12.0,3579.0
