Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,Attrition_numeric
37,no,,1372.0,,1,3,life_sciences,"391,0",4,male,42.0,3,1,research_scientist,4,single,,15881,1,no,12,3.0,2,0,,3,3.0,17,5,7,1986,yes,
32,no,travel_rarely,,,8,2,technical_degree,"436,0",3,male,65.0,2,2,sales_executive,2,married,,24624,1,yes,11,3.0,4,0,,2,3.0,13,11,9,1991,yes,
38,no,,1333.0,,1,3,,,4,male,80.0,3,3,research_director,1,married,,16292,1,,13,3.0,2,1,15.0,3,3.0,15,5,11,1985,no,
46,no,,228.0,,3,3,life_sciences,"1527,0",3,male,51.0,3,4,manager,2,,,11380,8,no,12,3.0,4,1,23.0,2,4.0,13,5,1,1977,yes,
35,yes,travel_rarely,737.0,,10,3,medical,,4,female,55.0,2,3,sales_executive,1,married,10306.0,21530,9,,17,3.0,3,0,15.0,3,,13,6,0,1988,no,
43,no,,823.0,,6,3,medical,"1866,0",1,male,81.0,2,5,manager,3,married,,22539,7,no,13,3.0,4,0,21.0,2,3.0,16,6,14,1980,yes,
56,no,non_travel,667.0,,1,4,life_sciences,"2026,0",3,female,57.0,3,2,healthcare_representative,3,divorced,,26236,1,no,21,,1,1,,2,2.0,13,1,9,1967,yes,
36,no,non_travel,301.0,,15,4,marketing,,4,female,88.0,1,2,sales_executive,4,divorced,5406.0,10436,1,no,24,4.0,1,1,,4,2.0,15,11,11,1987,yes,
38,no,,573.0,,6,3,medical,"107,0",2,male,79.0,1,2,research_scientist,4,,,15717,7,,12,3.0,4,3,17.0,3,3.0,13,1,9,1985,yes,
49,no,,,,26,4,medical,"170,0",3,male,96.0,3,2,manufacturing_director,1,,,5549,1,no,14,3.0,3,0,16.0,2,2.0,15,5,11,1974,no,
39,no,travel_rarely,1329.0,,4,4,life_sciences,,4,male,47.0,2,2,sales_executive,3,married,5902.0,14590,4,,14,3.0,3,1,17.0,1,4.0,15,5,9,1984,yes,
40,no,,630.0,,4,4,,"215,0",3,female,67.0,2,3,sales_executive,4,married,10855.0,8552,7,no,11,,1,1,15.0,2,2.0,12,2,11,1983,yes,
36,no,,,,5,2,,"304,0",4,female,62.0,3,2,laboratory_technician,2,single,5914.0,9945,8,no,16,3.0,4,0,16.0,3,4.0,13,3,7,1987,yes,
37,no,,1063.0,,25,5,,"529,0",2,male,72.0,3,2,research_scientist,3,married,,23866,3,yes,15,3.0,1,2,15.0,2,3.0,13,10,7,1986,no,
35,no,,1017.0,,6,4,,"691,0",2,female,82.0,1,2,research_scientist,4,,6646.0,19368,1,,13,3.0,2,0,,3,3.0,17,11,8,1988,yes,
33,no,travel_frequently,1296.0,,6,3,life_sciences,"692,0",3,female,,3,2,healthcare_representative,4,divorced,,5335,3,no,23,4.0,3,1,15.0,2,1.0,13,4,7,1990,no,
50,no,travel_rarely,939.0,research_and_development,24,3,,"1005,0",4,female,,3,4,manufacturing_director,3,married,13973.0,4161,3,yes,18,3.0,4,1,22.0,2,3.0,12,1,5,1973,no,
48,no,travel_rarely,1355.0,,4,4,,"1024,0",3,female,78.0,2,3,healthcare_representative,3,single,,22245,7,,14,,2,0,27.0,3,3.0,15,4,8,1975,yes,
44,no,travel_rarely,1448.0,sales,28,3,,"1039,0",4,male,53.0,4,4,sales_executive,4,married,13320.0,11737,3,,18,3.0,3,1,,2,3.0,12,11,11,1979,yes,
44,no,travel_rarely,200.0,,29,4,,"1225,0",4,female,32.0,3,2,research_scientist,4,single,,7744,1,,25,4.0,2,0,,3,3.0,20,13,17,1979,yes,
40,no,,1202.0,,25,1,,"1375,0",25,male,89.0,4,2,healthcare_representative,3,,,13888,5,no,20,4.0,2,3,15.0,0,3.0,12,11,8,1983,yes,
34,no,travel_rarely,404.0,,2,4,,,3,male,98.0,3,2,healthcare_representative,4,single,6687.0,6163,1,,11,3.0,4,0,14.0,2,4.0,14,4,11,1989,yes,
35,no,non_travel,208.0,research_and_development,8,4,,,3,male,52.0,3,2,healthcare_representative,3,,,12250,1,,12,3.0,4,1,,5,3.0,14,2,9,1988,yes,
50,no,,813.0,,17,5,life_sciences,,4,male,50.0,2,3,research_director,1,,,21981,5,no,15,3.0,3,3,,3,3.0,14,1,11,1973,no,
49,no,,465.0,,6,1,life_sciences,"1661,0",3,male,41.0,2,4,healthcare_representative,3,,,11652,2,,19,3.0,2,1,,3,3.0,15,2,12,1974,yes,
38,no,travel_frequently,1189.0,,1,3,life_sciences,"1668,0",4,female,90.0,3,2,research_scientist,4,,4735.0,9867,7,no,15,3.0,4,2,19.0,4,,13,2,9,1985,yes,
33,no,,,,21,3,,"1698,0",2,female,79.0,4,1,laboratory_technician,2,,,13637,1,no,18,3.0,4,3,14.0,6,,14,2,13,1990,yes,
47,no,travel_rarely,1001.0,,4,3,life_sciences,,3,male,92.0,2,3,manufacturing_director,2,divorced,,19271,8,yes,12,,3,1,,4,3.0,22,14,10,1976,yes,
38,no,,1394.0,research_and_development,8,3,,"1937,0",4,male,58.0,2,2,research_scientist,2,divorced,,18115,1,,16,3.0,3,1,20.0,3,3.0,20,0,7,1985,no,
37,no,travel_rarely,161.0,,10,3,life_sciences,"2017,0",3,male,42.0,4,3,research_director,4,,,15471,1,yes,25,4.0,1,1,16.0,2,3.0,16,6,8,1986,yes,
30,no,,288.0,,2,3,,"117,0",3,female,99.0,2,2,healthcare_representative,4,married,,15830,1,no,19,,1,3,11.0,3,3.0,11,10,8,1993,yes,
58,no,travel_rarely,682.0,,18,4,,"131,0",4,female,37.0,3,4,sales_executive,3,single,13872.0,24409,0,,13,3.0,3,0,38.0,1,2.0,37,1,8,1965,yes,
34,no,travel_rarely,1354.0,,5,3,,"153,0",3,male,45.0,2,3,manager,1,single,,5615,2,,12,3.0,4,0,14.0,6,3.0,11,5,8,1989,no,
58,yes,travel_rarely,147.0,,23,4,medical,,4,male,94.0,3,3,healthcare_representative,4,married,,3465,1,,12,3.0,4,1,40.0,3,2.0,40,15,6,1965,yes,
38,no,,119.0,,3,3,life_sciences,"307,0",1,female,76.0,3,3,sales_executive,3,divorced,,9647,0,,12,3.0,3,2,,6,2.0,16,5,13,1985,yes,
29,no,travel_frequently,1413.0,,1,1,,,2,male,42.0,3,3,sales_executive,4,married,,6599,1,,14,3.0,4,1,11.0,5,3.0,11,4,1,1994,yes,
55,no,travel_rarely,452.0,,1,3,medical,"374,0",4,female,81.0,3,5,manager,1,single,19045.0,18938,0,,14,3.0,3,0,37.0,2,3.0,36,4,13,1968,yes,
41,no,,334.0,,10,4,,,4,female,88.0,3,4,manager,2,,16015.0,15896,1,,19,3.0,2,0,,2,3.0,22,0,4,1982,yes,
39,no,travel_rarely,1132.0,research_and_development,1,3,,,3,female,48.0,4,3,healthcare_representative,4,,9613.0,10942,0,no,17,,1,3,19.0,5,2.0,18,3,7,1984,no,
38,no,,,,15,2,life_sciences,,3,female,92.0,2,3,research_director,4,,11510.0,15682,0,,14,3.0,2,1,,3,3.0,11,2,9,1985,yes,
43,no,,982.0,,12,3,,,1,female,59.0,2,4,research_director,2,,,4345,1,no,11,3.0,3,1,,3,,25,3,9,1980,yes,
31,no,,480.0,,30,2,,"524,0",2,male,31.0,3,2,manufacturing_director,1,married,4306.0,4156,1,no,12,3.0,2,1,13.0,5,1.0,13,3,12,1992,yes,
35,no,,672.0,,25,3,technical_degree,"899,0",4,female,78.0,2,3,manufacturing_director,2,married,,9129,3,no,16,,1,0,,2,3.0,13,4,8,1988,no,
47,no,,1379.0,,16,4,,,3,female,64.0,4,2,manufacturing_director,3,,5067.0,6759,1,yes,19,3.0,3,0,20.0,3,,19,2,7,1976,yes,
35,no,,583.0,research_and_development,25,4,,"1014,0",3,male,57.0,3,3,healthcare_representative,3,divorced,,6975,1,yes,11,,3,1,,3,2.0,16,10,1,1988,yes,
40,no,travel_rarely,1492.0,,20,4,,,1,female,61.0,3,3,healthcare_representative,4,married,,26542,4,,20,4.0,4,1,14.0,6,3.0,11,11,1,1983,yes,
45,no,,1050.0,sales,9,4,life_sciences,"1117,0",2,male,65.0,2,2,sales_executive,3,married,,17970,1,,13,3.0,4,1,15.0,2,3.0,15,4,12,1978,no,
33,no,,117.0,research_and_development,9,3,medical,"1238,0",1,female,60.0,3,1,research_scientist,4,married,,6311,0,,13,3.0,2,1,15.0,5,3.0,14,4,10,1990,no,
36,no,travel_frequently,469.0,,3,3,,,3,female,46.0,3,1,research_scientist,2,married,3692.0,9256,1,no,12,3.0,3,0,12.0,2,2.0,11,0,7,1987,no,
45,yes,,,,13,3,marketing,"1277,0",1,male,94.0,1,5,manager,2,,,2493,2,yes,16,3.0,1,0,26.0,2,3.0,24,1,11,1978,yes,
34,no,travel_rarely,1440.0,,7,2,technical_degree,"1541,0",2,female,55.0,3,1,sales_representative,3,,2308.0,4944,0,yes,25,4.0,2,1,12.0,4,3.0,11,5,7,1989,no,
43,no,travel_rarely,1291.0,research_and_development,15,2,,"1666,0",3,female,65.0,2,4,research_director,3,,,3525,1,no,24,4.0,1,1,,3,3.0,14,6,11,1980,yes,
34,no,,1157.0,,5,2,medical,"1696,0",2,female,57.0,2,2,laboratory_technician,4,,,11912,1,no,14,3.0,3,1,,3,,15,4,13,1989,no,
38,no,,1336.0,,2,3,,"1805,0",1,female,100.0,3,1,human_resources,2,divorced,,7129,5,no,13,3.0,4,3,13.0,3,3.0,11,3,8,1985,yes,
48,no,,1224.0,,10,3,,,4,female,91.0,2,5,research_director,2,,,13583,4,no,12,3.0,4,0,29.0,3,3.0,22,12,9,1975,no,
34,no,,735.0,research_and_development,22,4,other,"1932,0",3,female,86.0,2,2,research_scientist,4,married,5747.0,26496,1,yes,15,3.0,2,0,16.0,3,3.0,15,6,11,1989,no,
32,no,travel_rarely,,,31,4,,"2016,0",31,male,48.0,3,3,sales_executive,4,,10422.0,24032,1,no,19,3.0,3,2,14.0,3,3.0,14,5,7,1991,yes,
29,no,travel_rarely,1389.0,,21,4,life_sciences,"20,0",2,male,51.0,4,3,manufacturing_director,1,divorced,,10195,1,no,11,3.0,3,1,10.0,1,3.0,10,8,8,1994,no,
46,no,,638.0,,1,3,medical,,3,female,40.0,2,3,healthcare_representative,1,married,,3142,2,yes,13,3.0,3,1,21.0,5,2.0,10,9,5,1977,no,
30,no,,1240.0,human_resources,9,3,,"184,0",3,female,48.0,3,2,human_resources,4,married,6347.0,13982,0,yes,19,3.0,4,0,,2,1.0,11,4,7,1993,no,
45,no,,194.0,,9,3,life_sciences,"206,0",2,female,60.0,3,2,laboratory_technician,2,,2348.0,10901,8,no,18,3.0,3,1,20.0,2,,17,0,15,1978,yes,
30,no,travel_rarely,1339.0,,5,3,,"228,0",2,male,41.0,3,3,sales_executive,4,,,8053,2,no,12,3.0,3,1,,2,3.0,10,7,4,1993,yes,
30,no,,111.0,,9,3,,"239,0",3,female,66.0,3,2,laboratory_technician,1,,3072.0,11012,1,no,11,,3,2,12.0,4,3.0,12,6,10,1993,yes,
34,no,travel_frequently,,,29,1,,"256,0",4,female,45.0,2,2,manufacturing_director,3,married,,14074,1,,17,3.0,3,0,10.0,2,2.0,10,1,9,1989,no,
51,no,travel_rarely,1469.0,,8,4,life_sciences,,2,female,81.0,2,3,research_director,2,married,12490.0,15736,5,no,16,3.0,4,2,16.0,5,1.0,10,4,7,1972,no,
34,no,,470.0,,39,4,life_sciences,"339,0",39,female,84.0,2,2,manufacturing_director,1,,,23687,6,,13,3.0,2,1,13.0,3,3.0,11,5,9,1989,yes,
35,no,travel_rarely,1232.0,,16,3,,"406,0",3,female,96.0,3,3,sales_executive,2,married,8020.0,5100,0,,15,3.0,3,2,12.0,3,2.0,11,6,9,1988,yes,
45,no,travel_frequently,1249.0,,7,3,life_sciences,,1,female,97.0,3,3,laboratory_technician,1,,,20308,1,,18,3.0,1,1,24.0,2,3.0,24,9,11,1978,yes,
39,no,,117.0,,10,1,,"429,0",3,female,99.0,3,4,manager,1,married,17068.0,5355,1,,14,,4,0,21.0,3,3.0,21,11,10,1984,yes,
31,no,,798.0,,7,2,,,3,male,48.0,2,3,manufacturing_director,3,married,8943.0,14034,1,no,24,4.0,1,1,10.0,2,3.0,10,8,9,1992,no,
39,no,,672.0,research_and_development,7,2,,"444,0",3,female,54.0,2,5,manager,4,married,19272.0,21141,1,,15,3.0,1,1,,2,3.0,21,13,3,1984,yes,
45,no,travel_rarely,549.0,,8,4,,"452,0",4,female,75.0,3,2,research_scientist,4,,,9278,9,no,14,3.0,1,2,12.0,3,3.0,10,9,8,1978,yes,
30,no,travel_rarely,570.0,sales,5,3,marketing,"456,0",4,male,30.0,2,2,sales_executive,3,,,5431,1,,13,3.0,3,3,10.0,2,3.0,10,1,2,1993,yes,
31,no,,1232.0,,7,4,medical,,3,male,39.0,3,3,manufacturing_director,4,,,25713,1,,14,3.0,3,0,11.0,2,2.0,11,4,10,1992,no,
36,no,,541.0,,3,4,medical,"481,0",1,female,48.0,2,3,sales_executive,4,married,,7246,4,no,11,3.0,1,1,16.0,2,3.0,13,1,12,1987,yes,
36,no,travel_rarely,164.0,,2,2,,"513,0",2,female,61.0,2,3,sales_executive,3,married,,3809,1,,13,3.0,2,2,10.0,2,3.0,10,9,0,1987,yes,
55,no,travel_rarely,1117.0,,18,5,,"597,0",1,male,83.0,3,4,manager,2,single,,9873,3,no,23,4.0,4,0,37.0,2,3.0,10,7,7,1968,yes,
35,no,,619.0,,1,3,,"600,0",2,female,85.0,3,2,sales_executive,3,,,18659,9,,11,3.0,3,0,15.0,2,3.0,11,6,9,1988,yes,
42,no,travel_rarely,319.0,,24,3,medical,,4,female,56.0,3,3,manufacturing_director,1,married,,6950,1,,21,4.0,4,1,10.0,5,2.0,10,5,8,1981,no,
52,no,travel_rarely,956.0,,6,2,,"630,0",4,female,78.0,3,2,research_scientist,1,divorced,5577.0,22087,3,yes,12,,2,2,18.0,3,3.0,10,6,9,1971,yes,
49,no,,1245.0,,18,4,life_sciences,"638,0",4,female,58.0,2,5,research_director,3,,,2125,1,yes,17,3.0,3,1,,5,3.0,31,0,9,1974,yes,
34,no,travel_rarely,1397.0,research_and_development,1,5,,"683,0",2,female,42.0,3,1,research_scientist,4,married,2691.0,7660,1,no,12,3.0,4,1,,4,2.0,10,8,8,1989,yes,
33,yes,travel_rarely,527.0,,1,4,other,"780,0",4,female,63.0,3,1,research_scientist,4,single,,5207,1,,13,3.0,3,0,10.0,2,2.0,10,7,8,1990,no,
33,no,,213.0,research_and_development,7,3,medical,"817,0",3,female,49.0,3,3,research_director,3,married,,25995,0,no,11,3.0,4,0,,3,4.0,13,3,7,1990,yes,
53,no,travel_rarely,,,23,4,,"901,0",4,male,72.0,3,4,research_director,4,,,20206,6,no,18,3.0,3,0,33.0,0,3.0,12,3,8,1970,yes,
49,no,travel_rarely,527.0,,8,2,other,"944,0",1,male,51.0,3,3,laboratory_technician,2,married,7403.0,22477,4,,11,3.0,3,1,29.0,3,2.0,26,1,7,1974,no,
35,no,,882.0,,21,4,,"984,0",21,female,,3,3,sales_executive,4,,,6812,6,,13,3.0,2,1,,2,3.0,10,0,8,1988,no,
38,no,travel_rarely,330.0,,17,1,life_sciences,"1088,0",3,male,65.0,2,3,healthcare_representative,3,married,8823.0,24608,0,,18,3.0,1,1,20.0,4,2.0,19,1,9,1985,no,
46,no,,406.0,sales,3,1,marketing,"1124,0",1,female,,3,4,manager,3,married,,15596,3,no,12,3.0,4,1,,3,3.0,12,4,9,1977,no,
36,no,non_travel,217.0,,18,4,,,1,female,78.0,3,2,manufacturing_director,4,single,,23238,2,,20,4.0,1,0,18.0,0,3.0,11,0,9,1987,no,
42,yes,travel_frequently,481.0,,15,3,life_sciences,"1167,0",15,female,44.0,3,4,sales_executive,1,single,,2447,0,,12,,2,0,,2,2.0,21,13,14,1981,yes,
34,no,travel_frequently,669.0,,1,3,,"1184,0",4,female,97.0,2,2,healthcare_representative,1,single,,25755,0,no,20,4.0,3,0,14.0,3,3.0,13,4,9,1989,yes,
30,no,travel_rarely,1465.0,research_and_development,1,3,medical,,4,female,63.0,3,1,research_scientist,2,,3579.0,9369,0,yes,21,4.0,1,1,12.0,2,3.0,11,5,7,1993,yes,
54,no,travel_rarely,685.0,,3,3,life_sciences,,4,female,85.0,3,4,research_director,4,married,17779.0,23474,3,no,14,3.0,1,0,36.0,2,3.0,10,0,9,1969,yes,
31,no,travel_rarely,1062.0,,24,3,medical,"1252,0",3,male,96.0,2,2,healthcare_representative,1,single,,17198,1,no,19,,2,0,10.0,2,3.0,10,1,8,1992,no,
44,no,,1099.0,,5,3,,"1267,0",2,female,88.0,3,5,manager,2,married,18213.0,8751,7,no,11,3.0,3,1,26.0,5,3.0,22,3,10,1979,yes,
55,no,non_travel,177.0,,8,1,,"1278,0",4,female,37.0,2,4,healthcare_representative,2,divorced,13577.0,25592,1,yes,15,3.0,4,1,,3,3.0,33,15,0,1968,no,
44,no,travel_rarely,1199.0,,4,2,life_sciences,"1288,0",3,female,92.0,4,5,manager,1,divorced,19190.0,17477,1,no,14,3.0,4,2,,4,2.0,25,14,13,1979,no,
34,no,travel_frequently,648.0,human_resources,11,3,life_sciences,,3,female,56.0,2,2,human_resources,2,,,21833,4,no,11,3.0,4,2,14.0,5,4.0,10,1,8,1989,yes,
39,no,,412.0,,13,4,,"1307,0",3,male,94.0,2,4,manager,2,divorced,17123.0,17334,6,yes,13,3.0,4,2,,4,3.0,19,15,2,1984,no,
55,no,travel_rarely,282.0,,2,2,medical,"1336,0",4,male,58.0,1,5,manager,3,,19187.0,6992,4,,14,,4,1,23.0,5,3.0,19,9,11,1968,yes,
51,no,,770.0,,5,3,life_sciences,"1352,0",3,female,84.0,3,4,manager,2,,,17588,1,,11,3.0,2,1,,2,3.0,33,0,10,1972,yes,
58,yes,,601.0,,14,4,medical,"1360,0",14,male,53.0,2,3,manufacturing_director,1,married,10008.0,12023,7,,14,3.0,4,0,,0,2.0,10,5,9,1965,yes,
48,no,,855.0,,4,3,life_sciences,,4,female,54.0,3,3,manufacturing_director,4,single,,18706,1,no,11,3.0,3,0,11.0,2,3.0,10,0,8,1975,yes,
29,no,travel_rarely,332.0,human_resources,17,3,,"1419,0",2,female,51.0,2,3,human_resources,1,single,7988.0,9769,1,,13,3.0,1,0,,3,2.0,10,0,9,1994,no,
34,no,,1326.0,,3,3,other,"1478,0",4,female,81.0,1,2,sales_executive,1,single,,15891,3,no,18,,4,0,15.0,2,3.0,13,3,12,1989,yes,
42,no,travel_frequently,748.0,,9,2,,"1480,0",1,male,74.0,3,1,laboratory_technician,4,,,16458,1,,13,3.0,3,0,12.0,3,3.0,12,5,8,1981,yes,
57,no,travel_rarely,405.0,,1,2,life_sciences,,2,female,93.0,4,2,research_scientist,3,married,,2721,0,no,24,4.0,1,1,13.0,2,2.0,12,2,8,1966,yes,
